,text,label
0,请问羊犬追逐问题是在哪一节啊多谢各位兄弟,2
1,洛必达法则习题本部分习题第一题，我做了很多遍都是，各位大佬有做出正确答案的吗可以帮萌新一把吗感谢,0
2,老师讲的挺好，真的,1
3,不得不说课程内容和课件真的很好，但是老师的口音确实很影响听课质量，对老师没有恶意哈，纯粹是听课的感受，我想如果老师的普通话再标准一些，这个课程会更好,1
4,这个怎么做啊，求,3
5,直接带入,1
6,为什么B不等于即可怎么保证gx在某一段也不为呢为什么B不等于零我们可以保证gx在自变量的某一变化过程中它不等于零而且为什么到了这里他就要求yn不等于零呀,0
7,这个符号是包含于还是真包含于,2
8,包含,1
9,求解疑分母dx为什么可以直接被忽略了,2
10,明白了,0
11,极限存在在x时为呀，求解答,2
12,间断点,1
13,间断点,1
14,左右极限存在且左右极限都等于f这是可去间断点所以选,0
15,函数与反函数函数与反函数如何转换,2
16,x和y互换，反解y,0
17,高数怎么解释什么是反函数，感觉不能理解,2
18,去看看第一章映射就明白了，所谓反函数就是逆运算，比如说，那么，fyxfxy,0
19,大佬帮帮我吧，,2
20,洛必达法则最后一个疑问满足洛必达法则但是也不能使用洛必达法则不能用洛必达法则这是为什么呢,0
21,单个导数不存在,0
22,我不会求解，求解,3
23,教你个秘籍，看公式，听老师讲课，自己做你就会了,1
24,牛皮这么简单不会跑着来答案,3
25,这个级数和怎么求啊，我老是算不出来,2
26,你这不就是两等比数列求和然后求极限吗,1
27,什么是非奇函数,2
28,这道题怎么做，求详解,3
29,讲下我自己的理解，因为它的极限是关于n，所以就要把这个函数尽量化成每一项都含有n，或者为常数，观察该函数，我们可以同时除以xn，这样就得到一个除了x不含n其余都含n，再根据n趋于无穷大可知xnm趋于，这里m等于就是化简得到的项所以该函数的极限就为x，然后，你可以取特殊值和，因为它在负无穷到正无穷都是连续的讨论x和的情况，并带入函数里计算，它的函数值等于其极限值，因为根据初等函数的连续性，和在这个定义区间内就得到两个关于a，b的关系式，就可以求解到ab,0
30,狄利克雷函数是不是分段函数,2
31,是分段函数，只是在图像上表示不出来而已,0
32,是分段函数，图像不好画，刚看到大家的回复,0
33,检测题没有解析吗,2
34,定积分老师我想问一下，在到上的积分∫fxdxC，现在积分区间变为到，结果是C吗为什么,0
35,为什么无界函数不一定为无穷大,0
36,xcosx，前面有一题是当x趋近于时，cos有可能会取到，这时就不是无穷大，但同时这个函数是无界函数,0
37,间断点怎么判断，有点不清楚,2
38,判断，处有无定义，若，处有定义，但是，不存在，即，不存在或，不存在，若，处有定义存在，但是,0
39,有些题目不太懂可以有详细解答吗,2
40,求学霸指点，急求指点,3
41,无界函数为什么无界函数不一定为无穷大,2
42,系统异常是怎么回事系统异常是怎么回事,2
43,求指点,2
44,这道题怎么写求学霸指点,2
45,高阶导数就按定义来啊，一层一层导就行,0
46,谢谢,0
47,复合函数求导问题，逐步求导即可,1
48,先开上面三次方再求导,0
49,不是的，先对括号里的求导，在把括号里的作为一个整体再求导，两次求导结果相乘,0
50,高阶导数,1
51,老师，那些检测题的答案能不能备注解题思路呢谢谢老师,2
52,求解答,3
53,我怎么算我感觉没问题，但是答案是e∧，求解答,2
54,这道题不能用极限的运算法则吗,2
55,谢谢大佬，我懂了,0
56,一的无穷次方型，用第二重要极限,0
57,求解这道题怎么做啊,2
58,求解答这里是讲收敛数列的有界性，为什么举例是这个例子这个数列并不收敛呀这个数列不是发散的吗,0
59,上面讲的例子是指数列的有界性,0
60,我懂了,0
61,如何求解其收敛域,2
62,已经知道了，谢谢了,0
63,课本上,3
64,测试看不了题目如题,2
65,题怎么解求答案,2
66,，所以，不存在，左右极限都等于，所以函数fx在点x处的极限等于,0
67,求详细的解题过程，谢谢,3
68,请教请问这句话中的是怎么出来的,2
69,求这道题的详细过程谢谢啦,2
70,谢谢,0
71,高等数学有些步骤真的不理解请看定理的证明，为什么会这么麻烦，,2
72,为什么M集合里面会有a的绝对值，没必要吧，只要MXn的绝对值不就OK了吗,0
73,测试题看不了题目,3
74,这道题该怎么解,3
75,A的极限为无穷大，B所以，不存在，C，有界，所以，D极限不存在，答案选C,0
76,高等数学二有吗,3
77,求教微分方程,2
78,为什么后面不能测验,2
79,请问我可以补证书吗急,3
80,没有微分方程的教学吗,2
81,大佬帮帮忙，实在搞不懂,2
82,受教,0
83,把axb乘上分母，因为结果是，所以分子上的二次项系数为零，得到a的值，再根据分子分母系数求b,0
84,受教,0
85,不敢当,1
86,想看前面第一讲函数的内容为什么不可以看了,2
87,定积分可以帮忙看看这两题吗，谢谢,2
88,第六题用夹逼准则,1
89,第五题，两边同时求导就可以了,1
90,大佬们，能帮我解释下这道题为啥不能用这种做法呀,2
91,只是相差常数其实答案不一,1
92,嗯嗯明白了谢谢,0
93,可以啊，为什么不能,1
94,嗯嗯明白了谢谢,0
95,帮我看看这个题吧,2
96,洛必达法则,1
97,谁能帮助我怎样判断间断点,2
98,用定义呀，定义连续的几个条件，反过来不就是间断点,1
99,求大佬们给个详细解题过程,2
100,求助，谢谢为什么不考虑n趋于正负无穷大情况,0
101,就是我觉得正无穷大，和负无穷大都要考虑,0
102,帮帮忙为什么答案不用这样,2
103,懂了,0
104,求解,2
105,向大佬们求个思路,2
106,以t为中间变量求导,0
107,收敛为什么有界,2
108,收敛相当于最后趋于某点，由此可知，他最后会有一个值的范围也就是有最大值和最小值，如此便可证明有界,0
109,反函数的定义是什么，如何求反函数,2
110,反函数就是在原函数逆向推导出的函数，自变量和应变量之间关系的互换,0
111,求大神,2
112,分子分母有理化做到你现在最后一步，你可以选择使用无穷小代换把无穷大转换为无穷小，应该可以得出答案，但是麻烦很多，同学自己做一下吧,0
113,你这第一步的思路改下建议你上下同除以x马上就得出答案,1
114,知道啦，谢谢,0
115,帮我看看这个题怎么做吧,2
116,老师请问这题怎么做,2
117,咋做啊,2
